Abbesses;2.33794977706;48.884594208
Alexandre Dumas;2.39456194456;48.8563773572
Alma-Marceau;2.3009910035;48.864766845
Alésia;2.32716464961;48.8281884763
Anatole France;2.28500950275;48.892082786
Anvers;2.34413063372;48.8828686476
Argentine;2.28932258961;48.8755940499
Arts et Métiers;2.35672986917;48.8653227117
Assemblée Nationale;2.32099819195;48.8607869635
Aubervilliers-Pantin (4 Chemins);2.39228705964;48.9037599302
Avenue Émile Zola;2.29542047803;48.8470195819
Avron;2.39830234427;48.8515102782
Balard;2.27816167128;48.8359308792
Barbès-Rochechouart;2.35061300069;48.8838039424
Basilique de Saint-Denis;2.35939826103;48.9365268526
Bastille;2.36951356952;48.8534394276
Bel Air;2.40091853812;48.8413382509
Belleville;2.37670214473;48.8723101138
Bercy;2.37991127145;48.8403887481
Bibliothèque François Mitterrand;2.37574814434;48.8299902817
Billancourt;2.23863934858;48.8321105601
Bir-Hakeim (Grenelle);2.28933453277;48.8539426071
Blanche;2.33192659089;48.8839585735
Bobigny-Pablo Picasso;2.44918990449;48.9063747703
Bobigny-Pantin (Raymond Queneau);2.4253268888;48.895454673
Boissière;2.29005883493;48.8669831104
Bolivar;2.37414715384;48.8808212614
Bonne Nouvelle;2.35049797186;48.8701642009
Botzaris;2.38911580738;48.8794817719
Boucicaut;2.2879457665;48.8410940563
Boulogne-Jean Jaurès;2.23888732579;48.8420053473
Boulogne-Pont de Saint-Cloud;2.2285369815;48.8407450152
Bourse;2.34072072367;48.8686959778
Brochant;2.32017475579;48.8905871866
Bréguet-Sabin;2.37020933841;48.8561407093
Buttes-Chaumont;2.38161451194;48.8785141131
Buzenval;2.40102227052;48.851812133
Bérault;2.42920516635;48.8454707076
Cadet;2.34412603046;48.8758906819
Cambronne;2.30296829919;48.8475070811
Campo Formio;2.3588234891;48.8354953554
Cardinal Lemoine;2.35162325638;48.8466568513
Carrefour Pleyel;2.34330593051;48.9195730741
Censier-Daubenton;2.35173948717;48.8404866526
Champs-Élysées-Clémenceau;2.31354554995;48.8679053449
Chardon Lagache;2.26644154308;48.8452047036
Charenton-Écoles;2.41373751752;48.8215957673
Charles Michels;2.28599922342;48.8465346367
Charles de Gaulle-Étoile;2.29556025621;48.8747486507
Charonne;2.38556348082;48.8545804991
Chaussée d'Antin (La Fayette);2.33347913185;48.8729376577
Chemin Vert;2.3681082907;48.8574200375
Chevaleret;2.36812632906;48.8349477223
Château Rouge;2.3496940822;48.8873749106
Château d'Eau;2.35604490767;48.8724249145
Château de Vincennes;2.44043997806;48.8444563946
Château-Landon;2.36216007192;48.8785656258
Châtelet;2.34730585275;48.8587991981
Châtillon-Montrouge;2.30167855546;48.8107464886
Cité;2.34732131573;48.8549363766
Cluny-la Sorbonne;2.34427334542;48.8510502823
Colonel Fabien;2.37081139531;48.8776101874
Commerce;2.29395196364;48.8447947646
Concorde;2.32317568086;48.8661671149
Convention;2.29663034323;48.8373074946
Corentin Celton;2.27941168205;48.8270854489
Corentin-Cariou;2.38252234342;48.8948364684
Corvisart;2.35041487201;48.8297905137
Cour Saint-Émilion;2.38663240207;48.8333385593
Courcelles;2.30352872537;48.8792141342
Couronnes;2.38054258599;48.8690911629
Crimée;2.3773157556;48.8907889695
Croix de Chavaux (Jacques Duclos);2.43555571569;48.8579655912
Créteil-L'Échat (Hôpital Mondor);2.44943317569;48.7967407666
Créteil-Pointe du Lac;2.46456499321;48.7687151253
Créteil-Préfecture (Hôtel de Ville);2.45936839626;48.779905317
Créteil-Université;2.45045317792;48.7899783103
Danube;2.39344545649;48.8819319987
Daumesnil;2.39618288645;48.8394454284
Denfert-Rochereau;2.33285230996;48.8342929805
Dugommier;2.38962001134;48.8390411437
Dupleix;2.29361243991;48.850434549
Duroc;2.31700523574;48.8469891061
Edgar Quinet;2.32638461079;48.8406632293
Esplanade de la Défense;2.24793243532;48.8886312178
Europe;2.32226521312;48.8787703685
Exelmans;2.26003290221;48.8429386959
Faidherbe Chaligny;2.38409221007;48.8501778619
Falguière;2.31785278304;48.8444701413
Filles du Calvaire;2.36666109472;48.863257945
Fort d'Aubervilliers;2.40440908743;48.9149497564
Franklin D.Roosevelt;2.30950515734;48.8686998474
Front Populaire;2.3659203194;48.906567146
Félix Faure;2.29191241332;48.8427467798
Gabriel Péri;2.2946851117;48.9163823099
Gallieni (Parc de Bagnolet);2.41669727286;48.8653353173
Gambetta;2.39898444025;48.8649166851
Gare d'Austerlitz;2.36533865297;48.8422653865
Gare de Lyon;2.37496291887;48.8460276494
